Model #, Price, Date
210623,2022-04-26,4449.0
210624,2022-04-26,2899.0
ET56BE-W14E,2022-04-26,1927.55
ET56BE-W15E,2022-04-26,2034.46
ET56BT-W14E,2022-04-26,2057.97
RPL10-LPS5W1W1S1X0X0,2022-04-26,3199.0
RPL10-LPS5W1W1S4X0X0,2022-04-26,3399.0
RPL10-LPA2W0W1S0X0X0,2022-04-26,2999.0
RPL10-LPA2X1W1S0X0N0,2022-04-26,2999.0
RPL10-LPA5W4W1S0X3X0,2022-04-26,4299.0
RPL10-LPA5W6W1S0X0X0,2022-04-26,3949.0
RPL10-LPA5X4W1S0X0X0,2022-04-26,3199.0
RPL10-LPA5X4W1S0X3X0,2022-04-26,4099.0
RPL10-LPA5X5W1S0X0N0,2022-04-26,3599.0
RPL10-LPA7W3W1S3X0N0,2022-04-26,5299.0
RPL10-LPA7W4W1S0X3X0,2022-04-26,5399.0
RPL10-LPA7W5W1S0X3N0,2022-04-26,6199.0
RPL10-LPA7W6W1S3X0N0,2022-04-26,5349.0
RPL10-LPA7W7W1S1X0X0,2022-04-26,5499.0
RPL10-LPA7X4W1S0X3X0,2022-04-26,5199.0
RPL10-LPA7X6W0S0X0N0,2022-04-26,4949.0
RPL10-LPO2W1W1S0X0N0,2022-04-26,4756.33
RPL10-LPO6W4W1S0X0N0,2022-04-26,5718.5
RPL10-LPS2W1W2S0X2X,2022-04-26,2899.0
RPL10-LPS2X0W1S0X0X0,2022-04-26,2499.0
RPL10-LPS5W6W1S0X0X0,2022-04-26,3649.0
RPL10-LPS5X4W1S0X3X0,2022-04-26,3799.0
RPL10-LPS5X5W1S0X0X1,2022-04-26,3199.0
RPL10-LPS5X5W1S0X1X0,2022-04-26,3299.0
RPL10-LPS5X6W1S0X0X0,2022-04-26,3449.0
RPL10-LPS7W4W1S0X0X0,2022-04-26,4199.0
RPL10-LPS7W4W1S0X1X0,2022-04-26,4299.0
RPL10-LPS7X5W1S4X0X0,2022-04-26,4599.0
RPL10-LPV2W1W1E1X0N0,2022-04-26,3449.0
RPL10-LPV5W4W1S0X1X0,2022-04-26,3349.0
RPL10-LPV5W5W1S0X1X0,2022-04-26,3649.0
RPL10-LPV5X4W1S0X3X0,2022-04-26,3949.0
RPL10-LPV6P1W1S0P0X0,2022-04-26,4702.88
RPL10-LPV6P4W1S0P0X0,2022-04-26,3949.0
RPL10-LPV6W4W1S0X0N0,2022-04-26,3949.0
RPL10-LPV6W4W1S0X0X0,2022-04-26,3849.0
RPL10-LPV6X4W1S0X0X0,2022-04-26,3649.0
RPL10-LPV7W4W1S0X0X0,2022-04-26,4349.0
RPL10-LPV7W4W1S0X1X0,2022-04-26,4449.0
RPL10-LPV7W5W1S0X1X0,2022-04-26,4749.0
RPL10-LPV7X4W1S0X0X0,2022-04-26,4149.0
RSL10-LSO2W1W1S0X0N0,2022-04-26,3999.0
RSL10-LSO6W4W1S0X0N0,2022-04-26,5237.42
RSL10-LSV2W1W1K1X0X0,2022-04-26,3045.8
RSL10-LSV2W1W1S0X0X0,2022-04-26,2725.08
RSL10-LSV2W5W1S0X0X0,2022-04-26,3045.8
RSL10-LSV6P1W1S0P0X0,2022-04-26,4275.25
RPL10-LXV5P2W1S0P1X0,2022-04-26,4061.43
RTR12-RF5P8G5G5A2A2B,2022-04-26,3228.36
RTR12-RJ6P8G5G5B2A2B,2022-04-26,3879.67
RPL10-LPA7X5W1S0X0X0,2022-04-26,4599.0
RPL10-LPS5W4W1S1X0X0,2022-04-26,3199.0
RPL10-LPV5P5W1S0P0X0,2022-04-26,3649.0
RPL10-LPV5W4W1S0X0X0,2022-04-26,3249.0
RPL10-LPV5X4W1S0X2X0,2022-04-26,3149.0
RPL10-LXV5X4W1S0X3X0,2022-04-26,3901.07
RSL10-LSV7X6W1E0X0N0,2022-04-26,5023.61
RTL10B1-C1AE0X0000NA,2022-04-26,2778.54
RT10W-L10-17C12E1F,2022-04-26,0.0
UM3A000020300,2022-04-26,1881.58
UM3A000120300,2022-04-26,2009.21
XT1180-S,2022-04-26,2195.0
XA1180,2022-04-26,1480.0
XA1180-IMG,2022-04-26,1805.0
XT1680S-IMG-C,2022-04-26,3025.0
XT1680SV-IMG-C,2022-04-26,3300.0
XT1680S,2022-04-26,2090.0
XT1680S-IMG,2022-04-26,2490.0
XT1680SV-IMG,2022-04-26,2760.0
FLEX10AND-NK,2022-04-26,495.0
XT8650-IMG3,2022-04-26,2090.0
SM-T390NZKEXAR,2022-04-26,557.99
SM-T397UZKEXAA,2022-04-26,677.99
SM-T720NZSAXAR,2022-04-26,479.99
SM-T720NZKLXAR,2022-04-26,585.26
SM-T720NZSLXAR,2022-04-26,577.76
SM-T870NZSAXAR,2022-04-26,844.14
SM-T878UZKATMB,2022-04-26,1078.87
SM-T870NZKEXAR,2022-04-26,883.23
SM-T978UZKAVZW,2022-04-26,2202.84
SM-T978UZKATMB,2022-04-26,1311.69
SM-T307UZNATMB,2022-04-26,541.84
SM-T307UZNAATT,2022-04-26,323.23
SM-T307UZNASPR,2022-04-26,301.67
SM-T510NZKAXAR,2022-04-26,287.49
SM-T510NZSAXAR,2022-04-26,515.0
SM-T500NZAEXAR,2022-04-26,338.26
93DHN014300L33,2022-04-26,1613.1
93DHN014400L33,2022-04-26,1803.1
93DHN014700L33,2022-04-26,1800.23
93DHN014800L33,2022-04-26,1560.95
HT1-1THFRMGW00,2022-04-26,2375.0
iX65-03000011Y,2022-04-26,951.0
iX65-23000011Y,2022-04-26,1100.0
iX75-03000011B,2022-04-26,1051.0
